,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
6,0.0,4.0,2.0,-3.0,-12.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,0.0,1.0,-1.0,-3.5,-5.5,0.5,1.0,0.5,0.0,0.0,0.0,1
11,0.0,2.3333333333333335,1.0,1.6666666666666665,0.33333333333333304,0.0,0.3333333333333333,0.6666666666666666,0.0,-0.33333333333333337,-0.33333333333333337,2
27,0.0,1.6428571428571428,1.6428571428571432,31.0,30.785714285714285,0.0714285714285714,0.1428571428571428,0.7857142857142858,0.0,0.0,0.0,5
35,0.0,1.3333333333333333,2.3333333333333335,9.0,14.333333333333334,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.0,-0.33333333333333337,-0.33333333333333337,2
37,,,,,,,,,,-0.25,-0.25,3
38,0.0,6.0,10.0,-6.5,-2.0,0.5,0.5,0.0,0.0,-0.5,-0.5,1
39,0.0,-0.3999999999999999,-2.2,3.0,4.0,1.2,1.8,0.8,0.0,-0.19999999999999996,-0.19999999999999996,4
45,2.0,-2.0,-21.0,-4.0,-23.0,0.0,-1.0,0.0,0.0,0.0,0.0,0
46,0.0,-8.0,-9.0,-12.0,-14.0,0.0,0.5,0.5,0.0,0.0,0.0,0
47,0.0,3.3333333333333335,2.333333333333333,3.666666666666667,1.5,0.8333333333333334,1.3333333333333333,0.5,0.0,0.16666666666666663,0.33333333333333337,-4
48,0.0,-0.5,-1.0,-6.0,-7.0,0.0,0.3333333333333333,0.6666666666666666,0.0,-0.33333333333333337,-0.33333333333333337,1
49,0.0,0.33333333333333337,0.5,10.333333333333334,11.416666666666666,0.0,1.0,1.5,0.0,0.08333333333333337,0.08333333333333337,1
51,1.0,32.333333333333336,57.333333333333336,49.333333333333336,78.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,-2
57,0.5,17.5,31.0,17.5,35.0,0.0,0.0,1.0,0.0,1.0,1.0,1
59,0.0,-0.5,-2.0,1.0,-0.5,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,-1
60,0.0,-3.2857142857142856,-10.952380952380953,-4.142857142857142,-8.19047619047619,0.33333333333333337,0.5714285714285714,0.23809523809523808,0.0,0.04761904761904767,-0.09523809523809523,4
61,0.0,4.7,-0.5500000000000007,30.175,30.05,0.4,0.625,0.3,0.0,-0.050000000000000044,-0.30000000000000004,3
62,0.0,-4.0,-6.833333333333333,-3.833333333333334,-9.166666666666668,-0.3333333333333333,0.6666666666666667,0.0,0.0,-0.33333333333333337,-0.33333333333333337,3
63,0.0,0.8214285714285716,5.571428571428571,10.214285714285714,15.428571428571427,-0.25,1.0357142857142858,1.2857142857142858,0.0,0.2142857142857143,0.0714285714285714,3
64,0.5,8.75,16.0,-6.75,-2.0,0.75,1.0,-0.25,0.0,-0.5,-0.5,2
65,0.0,6.71111111111111,5.666666666666668,45.288888888888884,50.75555555555556,0.8888888888888888,1.2444444444444445,0.2444444444444444,0.0,0.1777777777777778,-0.15555555555555556,4
66,0.25,11.333333333333334,24.0,19.0,33.333333333333336,-0.08333333333333331,-0.41666666666666663,0.9166666666666667,0.0,0.08333333333333337,0.08333333333333337,1
68,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,-0.5,1
74,0.0,4.5,5.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1
76,0.0,-1.333333333333333,-3.0,2.333333333333334,0.6666666666666661,-0.33333333333333337,0.33333333333333326,1.0,0.0,1.0,1.0,2
80,0.0,7.5,14.7,39.85,53.849999999999994,0.9,1.15,0.6,0.0,-0.19999999999999996,-0.5,6
87,0.0,-3.0,0.0,-20.0,-18.0,0.0,0.0,0.0,0.0,0.5,0.5,1
88,0.2,11.066666666666666,16.46666666666667,26.26666666666667,32.0,-0.2666666666666666,-0.19999999999999996,0.0,0.0,0.050000000000000044,0.09999999999999998,1
92,0.16666666666666666,12.666666666666666,17.166666666666668,50.0,55.666666666666664,0.5,0.8333333333333334,0.0,0.0,-0.16666666666666663,-0.33333333333333337,5
93,0.0,27.7,40.0,45.8,61.3,1.8,2.3,1.0,0.0,0.4,0.4,-3
94,0.4,8.4,14.0,14.6,21.8,0.8,1.0,0.4,0.0,-0.06666666666666665,0.26666666666666666,2
98,0.0,5.5,2.666666666666666,6.0,2.0,1.6666666666666667,3.5,0.8333333333333334,0.0,-0.16666666666666663,-0.16666666666666663,-4
99,0.0,26.0,37.333333333333336,40.666666666666664,55.666666666666664,2.0,2.6666666666666665,0.6666666666666666,0.0,0.33333333333333337,0.33333333333333337,0
102,0.0,2.1500000000000004,12.25,10.399999999999999,20.6,0.6,0.95,1.0,0.0,0.30000000000000004,0.30000000000000004,1
103,0.0,12.0,14.0,37.0,40.0,2.0,2.0,1.0,0.0,0.5,-0.5,-1
105,0.14285714285714285,13.0,15.095238095238095,46.642857142857146,49.904761904761905,0.40476190476190477,-0.1428571428571429,0.0,0.0,0.3571428571428571,0.2142857142857143,1
