,label,elo_diff,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
61,1,-46.59095395560621,0.0,4.7,-0.5500000000000007,30.175,30.05,0.4,0.625,0.3,0.0,-0.050000000000000044,-0.30000000000000004,3
65,1,174.72362694233243,0.0,6.71111111111111,5.666666666666668,45.288888888888884,50.75555555555556,0.8888888888888888,1.2444444444444445,0.2444444444444444,0.0,0.1777777777777778,0.2444444444444444,4
105,1,260.75075239506054,0.14285714285714285,13.0,15.095238095238095,46.642857142857146,49.904761904761905,0.40476190476190477,-0.1428571428571429,0.0,0.0,0.3571428571428571,0.0,1
108,1,180.84171648727602,0.125,12.875,18.625,42.5,48.875,0.0,0.0,0.0,0.0,0.20833333333333337,-0.04166666666666666,2
110,1,75.69871392986056,0.1111111111111111,8.0,6.444444444444443,32.55555555555555,31.666666666666668,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0
119,1,-15.675109471877931,0.0,17.236363636363638,17.909090909090907,23.527272727272724,24.963636363636365,1.5090909090909093,1.8363636363636364,0.7090909090909091,0.0,0.18181818181818177,-0.05454545454545451,-6
246,1,-64.95737619985039,0.8,10.833333333333332,29.866666666666667,9.899999999999999,28.63333333333333,-0.08333333333333333,-0.5833333333333334,-0.08333333333333333,1.6,0.050000000000000044,-0.4166666666666667,-7
268,1,24.89856948234774,0.0,2.1714285714285744,-21.714285714285715,20.314285714285717,-4.114285714285714,0.9714285714285713,-0.4571428571428573,0.8,35.4,0.1428571428571429,0.2,-2
295,1,114.03059377008867,-0.125,7.333333333333332,-13.958333333333336,30.875,9.0,1.2916666666666667,2.0416666666666665,0.6666666666666666,77.16666666666667,0.25,0.16666666666666666,-2
327,1,-22.387577602666852,0.2857142857142857,25.166666666666668,58.523809523809526,34.142857142857146,68.07142857142857,0.2857142857142857,-0.047619047619047616,0.0,47.57142857142857,0.023809523809523725,-0.16666666666666666,1
350,1,73.93403070669592,0.1,20.26666666666667,29.0,54.0,64.43333333333332,3.1,3.8666666666666667,0.2,366.6,-0.033333333333333326,-0.5666666666666667,4
367,1,-104.48503516633195,0.0,18.0,17.33333333333333,45.55555555555556,45.55555555555555,1.3333333333333335,-1.7777777777777781,0.4444444444444444,183.22222222222223,-0.11111111111111105,0.1111111111111111,0
382,1,-123.42755368273106,-0.09090909090909091,23.645454545454548,25.918181818181818,21.06363636363637,22.599999999999994,1.3909090909090907,2.3636363636363633,0.2272727272727273,123.57272727272728,-0.018181818181818188,0.009090909090909094,-1
385,1,-91.35355704543917,0.6153846153846154,7.3589743589743595,27.294871794871792,-1.064102564102562,19.128205128205124,-1.1794871794871793,-1.9615384615384617,-0.3333333333333333,-100.52564102564104,-0.21794871794871795,0.0,7
388,1,28.235168286798853,-0.2,3.1499999999999986,-0.5249999999999986,-11.299999999999997,-14.75,0.35,0.19999999999999996,0.525,108.2,0.15000000000000002,0.25,3
396,1,-72.51726309230594,0.2222222222222222,21.055555555555557,30.055555555555554,41.05555555555556,50.49999999999999,1.2777777777777777,1.6111111111111112,-0.22222222222222227,85.38888888888889,-0.05555555555555547,-0.1111111111111111,-3
398,1,-137.1249948472407,0.40909090909090906,-5.988636363636363,-16.05681818181818,-19.125,-29.43181818181818,-0.25,-0.7272727272727273,0.28409090909090906,-166.6931818181818,-0.06818181818181823,0.03409090909090909,-3
399,1,-161.29046359211384,0.3166666666666667,18.53333333333333,38.85,-5.2166666666666615,14.099999999999994,-0.8,-1.7,-0.25,-29.266666666666666,0.050000000000000044,-0.08333333333333333,-2
411,1,175.2609424464158,-0.5,4.055555555555557,-0.3333333333333357,-8.055555555555557,-12.388888888888886,0.4444444444444445,0.6666666666666666,0.5,112.38888888888889,0.2777777777777778,0.2222222222222222,3
414,1,169.3305387798905,0.0,0.6285714285714281,8.542857142857141,2.7142857142857153,7.399999999999999,-0.02857142857142858,-0.05714285714285716,0.4571428571428571,-0.05714285714285716,0.3142857142857143,0.3714285714285714,2
420,1,-82.93670216436635,0.0,29.666666666666668,42.75,64.22222222222221,78.11111111111111,2.25,3.6666666666666665,0.4166666666666667,273.1666666666667,-0.02777777777777779,-0.027777777777777776,3
425,1,244.9316511439531,0.0,3.1999999999999993,-23.666666666666664,2.0,-24.766666666666673,0.5333333333333333,0.8999999999999999,0.5666666666666667,124.1,0.13333333333333341,0.2,4
437,1,23.355500028433198,0.07142857142857142,24.9,41.62857142857143,73.54285714285714,92.67142857142856,2.4142857142857146,3.542857142857143,0.014285714285714263,357.51428571428573,0.014285714285714346,-0.02857142857142858,4
455,1,-19.666379621059377,0.5064102564102564,12.596153846153847,32.86538461538461,8.826923076923077,29.20512820512821,-0.5961538461538461,-1.1282051282051282,-0.23076923076923078,-90.93589743589743,0.0641025641025641,-0.07692307692307693,-1
479,1,368.1061554211367,0.6153846153846154,20.54945054945055,46.956043956043956,11.934065934065938,37.72527472527473,-0.6263736263736264,-1.4065934065934065,0.0,26.362637362637365,0.27472527472527475,-0.42857142857142855,6
524,1,122.40052003044207,0.6476190476190476,15.028571428571427,39.11428571428571,11.742857142857147,35.919047619047625,-0.5857142857142857,-1.580952380952381,-0.2,-78.50952380952381,0.12380952380952381,-0.13333333333333333,-1
526,1,-91.57354945914744,0.3333333333333333,27.023809523809522,36.73809523809524,35.976190476190474,46.30952380952382,0.9523809523809523,-2.0952380952380953,0.5714285714285714,166.26190476190476,-0.023809523809523725,0.023809523809523808,-1
527,1,184.59304894663092,0.8333333333333334,25.233333333333334,57.56666666666667,19.6,46.53333333333333,-0.5,-1.7000000000000002,-0.26666666666666666,15.200000000000003,0.19999999999999996,0.16666666666666666,1
546,1,-28.281600577397057,-0.14285714285714285,-1.257142857142858,-23.685714285714283,44.6857142857143,22.314285714285703,2.5714285714285716,4.4,-0.657142857142857,260.1428571428571,0.02857142857142858,0.05714285714285716,-2
550,1,-193.98356661454545,0.42857142857142855,32.55555555555556,58.698412698412696,41.98412698412699,68.26984126984127,0.14285714285714285,-0.8571428571428572,0.0,41.79365079365079,-0.06349206349206349,-0.2222222222222222,-2
557,1,-0.21280091789662947,0.0,19.464285714285715,30.357142857142854,34.607142857142854,44.32142857142857,2.4107142857142856,3.9107142857142856,0.7857142857142857,345.85714285714283,-0.1428571428571429,-0.5892857142857143,6
580,1,47.094353849542586,0.4,28.825,52.125,36.95,60.275,0.125,-0.775,0.0,36.3,0.050000000000000044,-0.2,-2
581,1,115.13860277816093,0.0625,25.4375,38.75694444444444,62.326388888888886,77.81944444444444,2.701388888888889,4.618055555555555,-0.03472222222222221,374.38194444444446,0.08333333333333337,-0.3819444444444444,7
598,1,302.9674252377913,0.7333333333333333,22.085714285714285,56.180952380952384,1.8952380952380992,35.03809523809524,-0.08571428571428569,-1.0190476190476192,-0.7142857142857143,17.761904761904766,0.1523809523809524,-0.42857142857142855,8
613,1,131.84675595151748,0.0,8.899999999999999,3.6666666666666643,-1.4500000000000028,-7.649999999999999,1.0416666666666665,-0.8083333333333336,0.30000000000000004,224.40833333333336,0.1166666666666667,0.14166666666666666,7
615,1,223.97473526721205,0.058823529411764705,24.794117647058822,37.50588235294117,60.44117647058823,75.29411764705883,2.6058823529411765,4.541176470588235,-0.023529411764705882,355.8705882352941,0.16470588235294115,-0.3411764705882353,7
